200 C1=CC=C2C=C(C=CC2=C1)Br 580-13-2 1.0 fail
201 CC1=NCCS1 2346-00-1 2.0 -101.0
202 CCC=C(C)C=O 623-36-9 2.0 fail
203 CCCC(=O)C(C)C 7379-12-6 2.0 fail
204 CCC(=O)C(C)C 565-69-5 2.0 fail
205 CN1C(=O)C=CS1 2682-20-4 1.0 50.5
206 CC1=CC=CC=C1CC2=CC=CC=C2 713-36-0 2.0 fail
207 CC1=NC2=CC=CC=C2C=C1 91-63-4 2.0 fail
208 CC1CCCCC1O 583-59-5 2.0 fail
209 CC(CC(=O)O)C(=O)O 498-21-5 1.0 fail
210 COCCOC=C 1663-35-0 2.0 -83.0
211 COCCN 109-85-3 2.0 fail
212 COC1=CC=CC=C1C=C 612-15-7 1.0 29.0
213 CN1CCC2=CC(=C(C3=C2C1CC4=CC=CC=C43)OC)O 33770-27-3 1.0 fail
214 C1=CC(=O)NC=C1 72762-00-6 1.0 107.8
215 COC1=CC(=CC2=C1C(=O)C(=CO2)C3=C(C=C(C=C3)O)O)O 101691-27-4 1.0 290.0
216 C1C2=CC=CC=C2C3=C1C=C(C=C3)O 2443-58-5 1.0 168.0
217 CCCCCCC(=O)C(=O)O 328-51-8 1.0 fail
218 C1=CC=C(C=C1)COCCO 622-08-2 2.0 fail
219 C1CCC(C(C1)C2=CC=CC=C2)O 1444-64-0 2.0 fail
220 COC(=O)C1C(O1)C2=CC=CC=C2 37161-74-3 2.0 fail
221 CC(CO)OC1=CC=CC=C1 4169-04-4 2.0 fail
222 COC(=O)CNC(=O)C1=CC=CC=C1 1205-08-9 1.0 fail
223 C1=CC=C2C=C(C=CC2=C1)S 91-60-1 1.0 81.0
224 CCCCCC=CC=O 2363-89-5 2.0 fail
225 CCCCCCC(=O)C 111-13-7 2.0 -16.0
226 ClCl 81859-29-2 2.0 fail
227 COC1=C(C=C(C=C1)CC2COC3=CC(=CC(=C3C2=O)O)O)O 107585-75-1 1.0 fail
228 CC(=O)NC1=CC(=CC=C1)O 621-42-1 1.0 fail
229 CCC1(COC1)COCC2(COC2)CC 18934-00-4 2.0 fail
230 COC1=C(C=CC(=C1)C2=CC(=C(C=C2)N)OC)N 119-90-4 1.0 fail
231 COC(=O)CCSCCC(=O)OC 4131-74-2 2.0 fail
232 C(CS(=O)(=O)O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F 27619-97-2 2.0 fail
233 CC(=O)C(C)(C)C 75-97-8 2.0 -52.5
234 C(#N)C1=C(C(=C(C(=N1)Cl)Cl)Cl)Cl 17824-83-8 2.0 fail
235 C1=CC(=C(C=C1C(C(=O)O)O)O)O 14883-87-5 1.0 fail
236 C1=CC(=C(C=C1C(F)(F)F)Cl)Cl 328-84-7 2.0 fail
237 C1=C(C(=CS1)Br)Br 3141-26-2 2.0 fail
238 CC1=C(C=NC=C1)C 583-58-4 2.0 fail
239 CC1CCC(CC1C)O 5715-23-1 2.0 fail
240 CC1=CC(=C(C=C1)OC)OC 494-99-5 2.0 fail
241 C1=CC(=C(C=C1C=CC(=O)O)O)O 501-16-6 1.0 fail
242 C1OC2=C(O1)C=C(C=C2)CC#N 4439-02-5 1.0 fail
243 CC(CC(=O)Cl)CC(C)(C)C 36727-29-4 2.0 fail
244 CC(CC=O)CC(C)(C)C 5435-64-3 2.0 fail
245 COC1=CC(=CC(=C1)Cl)Cl 33719-74-3 1.0 fail
246 C1=C(C=C(C=C1Cl)Cl)N 626-43-7 1.0 52.0
247 COC1=CC(=CC(=C1OC)OC)CCC(=O)O 25173-72-2 1.0 fail
248 CC(CC1=CC=C(C=C1)OC)C=O 5462-06-6 2.0 fail
249 CCCCN(CCCC)CCCN 102-83-0 2.0 fail
250 CC1=C(C=C(C=C1)O)N(C)C 119-31-3 2.0 fail
251 CC1=CC=C(C=C1)C=CC=O 1504-75-2 1.0 41.5
252 CC1(C2CCC3(C(C2(CCC1O)C)CC=C4C3(CCC5(C4CC(CC5)(C)C(=O)O)C)C)C)C 76035-62-6 1.0 fail
253 CCC1=CC=CC(=C1)C 620-14-4 2.0 fail
254 CCN(CC)C1=CC(=CC=C1)O 91-68-9 1.0 fail
255 C1=CC(=CN=C1)S(=O)(=O)O 636-73-7 1.0 fail
256 C1=CC=C2C(=C1)C(=CN2)CC#N 771-51-7 1.0 36.0
257 CO[Si](C)(CCCS)OC 31001-77-1 2.0 fail
258 C(C(CS)C(=O)O)S 7634-96-0 1.0 fail
259 C(CS)C(=O)O 107-96-0 2.0 16.8
260 CCCCC(CC)COC(=O)CCS 50448-95-8 2.0 fail
261 CCOC(=O)CCS 5466-06-8 2.0 fail
262 COC(=O)CCS 2935-90-2 2.0 fail
263 CCCC=CC(=O)C 1119-44-4 2.0 fail
264 C1=CC(=CC=C1C(CC(=O)O)N)O 6049-54-3 1.0 fail
265 CC1=C(C=C(C=C1)N=C=O)Cl 28479-22-3 2.0 fail
266 C(CCl)C#N 542-76-7 2.0 fail
267 C(CCl)C(=O)Cl 625-36-5 2.0 fail
268 C1=CC(=CC(=C1)Cl)C(=O)OO 937-14-4 1.0 fail
269 C1CC(CC=C1)CO 1679-51-2 2.0 fail
270 CC(C)C(C)O 598-75-4 2.0 fail
271 CC1=CC(=O)CC1 2758-18-1 2.0 fail
272 CC1(COC1)CO 3143-02-0 2.0 fail
273 CC(CCC1=CC=CC=C1)CCO 55066-48-3 2.0 fail
274 CCC(C)CC 96-14-0 2.0 -162.9
275 CC1=CC(=CC=C1)CN 100-81-2 2.0 fail
276 CCCCCC(C)CC 2216-33-3 2.0 fail
277 COCC(CO)O 623-39-2 2.0 fail
278 COCCCN 5332-73-0 2.0 fail
279 COC1=CC=CC(=C1)CO 6971-51-3 2.0 fail
280 COC1=CC=CC(=C1)CC(=O)O 1798-09-0 1.0 fail
281 CSCCCO 505-10-2 2.0 fail
282 C1=CC(=C(C(=C1)O)N)C(=O)CC(C(=O)O)N 484-78-6 1.0 217.0
283 COC1=CC=CC=C1NC(=O)C2=CC3=CC=CC=C3C=C2O 135-62-6 1.0 fail
284 C1=CC(=C(C(=C1)O)N)C(=O)O 548-93-6 1.0 164.0
285 C(CCCCCC(=O)O)CCCCC(CC(=O)O)O 73179-89-2 1.0 fail
286 C1C(C(C(=O)CC1(C(=O)O)O)O)O 10534-44-8 1.0 fail
287 CC1(C(=O)C2=C(O1)C(=CC=C2)OC(=O)NC)C 16709-30-1 1.0 fail
288 C1CC(=O)N(C1=O)OC(=O)C2=CC(=CC=C2)N3C(=O)C=CC3=O 58626-38-3 1.0 fail
289 CC(CCC(=O)O)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C 5255-17-4 1.0 fail
290 COC1C(OC(C1O)N2C=NC3=C2N=C(NC3=O)N)CO 10300-27-3 1.0 263.0
291 CC1=CC(=C(O1)C)SSC2=C(OC(=C2)C)C 28588-73-0 2.0 fail
292 CC1=CC=C(C=C1)C(=O)C 122-00-9 2.0 28.0
293 C1CC(CCC1CC2CCC(CC2)N)N 1761-71-3 2.0 fail
294 C1=CC(=CC=C1N)SC2=CC=C(C=C2)N 139-65-1 1.0 fail
295 CCCCCCCCC1=CC=C(C=C1)NC2=CC=C(C=C2)CCCCCCCC 101-67-7 1.0 fail
296 CC1=CC(=CC(=C1OC#N)C)CC2=CC(=C(C(=C2)C)OC#N)C 101657-77-6 1.0 fail
297 CC1(COCN1)C 51200-87-4 2.0 fail
298 C1COCCN1SSC2=NC3=CC=CC=C3S2 95-32-9 1.0 fail
299 CC(=O)CCC1=CC=C(C=C1)O 5471-51-2 1.0 82.5
300 COC1=C(C=CC(=C1)CN)O 1196-92-5 1.0 fail
301 COC(=O)CCCSC 53053-51-3 2.0 fail
302 CC(C)(C1=CC=CC=C1)C2=CC=C(C=C2)O 599-64-4 1.0 74.5
303 CCC1=CC(=C(C=C1)O)OC 2785-89-9 2.0 -7.0
304 CCOC(=O)C1=CC=C(C=C1)N(C)C 10287-53-3 1.0 fail
305 C1=CC(=CC=C1N=O)O 104-91-6 1.0 fail
306 CCC(C)C1=CC=C(C=C1)O 99-71-8 2.0 fail
307 CCCCCCCCCCCCCCCCN1CCOCC1 25727-91-7 2.0 fail
308 CCCC(=O)CCC 123-19-3 2.0 fail
309 CC1=CC=C(C=C1)C(C)C 99-87-6 2.0 fail
310 C=CCCCO 821-09-0 2.0 fail
311 C=CCCC(=O)O 591-80-0 2.0 -22.5
312 CC(=O)C1=CC=C(C=C1)F 403-42-9 2.0 fail
313 CC1=CC(=C(C=C1)N)S(=O)(=O)O 88-44-8 1.0 fail
314 C1=CC=C(C=C1)C2=CC=C(C=C2)N 92-67-1 1.0 fail
315 CC1=C(C=CC(=C1)O)Cl 59-50-7 2.0 fail
316 C1=CC(=CC=C1C=CC(=O)O)Cl 1615-02-7 1.0 fail
317 C1=CC(=C(C=C1N)S(=O)(=O)O)Cl 88-43-7 1.0 fail
318 C1=CC(=C(C=C1Cl)N)N 95-83-0 1.0 fail
319 B(C1=CC=C(C=C1)Br)(O)O 5467-74-3 1.0 fail
320 CC1=CC=C(C=C1)OC 104-93-8 2.0 -32.0
321 CCOC(=O)C=CC1=CC=C(C=C1)OC 24393-56-4 1.0 49.5
322 C1=C(C(=O)NC(=S)N1)C(=O)O 23945-50-8 1.0 fail
323 CCOC(=O)CCCC1=CC=CC=C1 10031-93-3 2.0 fail
324 C1=NNC(=N1)N 65312-61-0 1.0 fail
325 C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)O)O)O 63-37-6 1.0 233.0
326 CC1=CN(C(=O)NC1=O)C2CC(C(O2)COC(C3=CC=CC=C3)(C4=CC=C(C=C4)OC)C5=CC=C(C=C5)OC)O 40615-39-2 1.0 fail
327 C1=COC2=CC(=CC(=C2C1=O)O)O 31721-94-5 1.0 fail
328 CCC1(C(=O)N(C(=O)N1)C)C2=CC=CC=C2 50-12-4 1.0 fail
329 CCCCCCCCCCCCCCCC1=CC(=CC(=C1)O)O 3158-56-3 1.0 fail
330 C=CCCCCO 821-41-0 2.0 fail
331 C1=NC(=NC(=O)N1C2C(C(C(O2)CO)O)O)N 320-67-2 1.0 fail
332 CC1=C(C=C(C=C1)Cl)N 95-79-4 1.0 26.0
333 CC1=CC2=C(C3=C1C=CC=N3)N=CC=C2 3002-78-6 1.0 fail
334 CC(C)C=CC(=O)C 5166-53-0 2.0 fail
335 COC1=CC(=C(C=C1)O)C(=O)O 2612-02-4 1.0 fail
336 C1=C(OC(=C1)C=O)CO 67-47-0 1.0 31.5
337 CC12CCC(CC1CCC3C2CCC4(C3CCC4O)C)O 571-20-0 1.0 fail
338 CC12CCC(=O)CC1CCC3C2CCC4(C3CCC4=O)C 846-46-8 1.0 fail
